Sex,PhDSchool,FirstPosition,FirstType,CurrentPosition,CurrentPositionType,Dissertation,PrimaryAreaOfStudy,YearGraduated,SoughtAcademicEmployment?,Other Job ,Other Academic Location,Other Academic Field
Unknown,"University of Illinois, Chicago",Federal University of Minas Gerais,Lecturer,Federal University of Minas Gerais,Lecturer,Wittgenstein on Grammar and Method (from 1929 to the Philosophical Investigations),Philosophy of Language,2008,,,,
Unknown,"University of Illinois, Chicago",Federal University of Rio Grande do Sul,Post Doc/Researcher,Federal University of Santa Maria,Tenure Track/Permanent,Theories and Reality: Five Essays on Quine and Underdetermination,History of Philosophy,2006,,,,
Male,Florida State University,Felician College,Lecturer,Felician College,Lecturer,"Dissertation Title: ""Making Artists of Us All: The Evolution of An Educational Aesthetic""",Aesthetics,2005,,,,
Male,University of Notre Dame,Unknown,Unknown,Felician College,Lecturer,Foundationalism and the Foundations of Ethics,Ethics,2008,,,,
Unknown,University of Rochester,Unknown,Unknown,Finger Lakes Community College,Lecturer,Unknown,Ethics,2010,Yes,,,
Female,"University of Massachusetts, Amherst",Unknown,Unknown,Fitchburg State College,Lecturer,Unknown,Unknown,1988,,,,
Male,"University of California, Riverside",Flagler College,Lecturer,Flagler College,Lecturer,"Saving the Agent: An Investigation of Agency, Explanation, and Two-Standpoint Arguments",Metaphysics,2004,,,,
Female,Georgetown University,Florida Atlantic University,Lecturer,Florida Atlantic University,Lecturer,Unknown,Unknown,1999,,,,
Unknown,"University of Texas, Austin",Florida Atlantic University,Tenure Track/Permanent,Florida Atlantic University,Tenure Track/Permanent,Unknown,Unknown,2004,,,,
Unknown,Purdue University,Purdue University,Post Doc/Researcher,Florida Atlantic University,Tenure Track/Permanent,The Foundations of Jurgen Habermas's Theory of Communicative Rationality: A Defense,Epistemology, 2004,,,,
Unknown,University of Rochester,Unknown,Unknown,Florida Coastal School of Law,Lecturer,Unknown,Epistemology,1996,Yes,,,
Female,Boston University,Florida International University,Tenure Track/Permanent,Florida International University,Tenure Track/Permanent,“After Aesthetics: Martin Heidegger and the End of Art”,Aesthetics,2008,,,,
Male,University of Toronto,Florida International University,Tenured,Florida International University,Tenured,A Vindication of the Minds of Brutes,Ethics,2003,Yes,,,
Unknown,University of Miami,Florida International University,Lecturer,Florida International University,Lecturer,"Liar, Language, and Truth.",Philosophy of Language,2004,,,,
Male,Johns Hopkins University,Florida International University,Tenure Track/Permanent,Florida International University,Tenure Track/Permanent,Unknown,Unknown,2003,,,,
Female,University of Utah,Florida International University,Lecturer,Florida International University,Lecturer,Unknown,Unknown,2011,,,,
Male,University of Utah,Florida International University,Lecturer,Florida International University,Lecturer,Unknown,Unknown,,,,,
Male,Duke University,Florida International University,Lecturer,Florida International University    ,Lecturer,Unknown,Unknown,2011,,,,
Female,Florida State University,Florida State University,Lecturer,Florida State University,Lecturer,"Dissertation Title: ""Free Will and Divine Omniscience""",Metaphysics,2012,,,,
Male,Florida State University,Florida State University,Lecturer,Florida State University,Lecturer,"Dissertation Title: ""Remedying Some Defects in the History of Analyticity""",History of Philosophy,2012,,,,
Female,Florida State University,Florida State University,Lecturer,Florida State University,Lecturer,"Dissertation Title: ""Socialization and Psychological Autonomy""",Philosophy of Logic,2010,,,,
Female,Florida State University,Florida State University,Lecturer,Florida State University,Lecturer,"Dissertation Title: ""The Problem of Akratic Action""",Ethics,2007,,,,
Male,Florida State University,Florida State University,Lecturer,Florida State University,Lecturer,"Dissertation Title: ""The Utility of the Illusion of Character""",Ethics,2012,,,,
Unknown,Massachusetts Institute of Technology,Florida State University,Tenure Track/Permanent,Florida State University,Tenure Track/Permanent,Unknown,Unknown,1995,,,,
Unknown,"University of Illinois, Chicago",Johns Hopkins University,Lecturer,Florida State University,Tenure Track/Permanent,The Variety of Reasons: Justification and Requirement in Rationality and Advisability,Epistemology,1998,,,,
Male,"University of California, Berkeley",Mount St. Mary’s College,Tenure Track/Permanent,Florida State University,Tenure Track/Permanent,Space and Self-Awareness,Metaphysics,2009,,,,
Male,"University of North Carolina, Chapel Hill",University of Notre Dame,Post Doc/Researcher,Florida State University,Tenured,Mob Metaphysics: An Interpretation of Berkeley's Philosophy   ,Metaphysics,2002,,,,
Unknown,"University of Texas, Austin",University of Sydney,Post Doc/Researcher,Florida State University,Tenure Track/Permanent,Unknown,Unknown,2008,,,,
Unknown,Princeton University,University of Utah,Lecturer,Florida State University,Tenure Track/Permanent,"causes, effects, and contrasts",Metaphysics,2000,,,,
Male,Northwestern University,Fordham University,Tenure Track/Permanent,Fordham University,Tenure Track/Permanent,"Derrida, Arendt, and the Inheritance of Democracy",Social and Political Philosophy,2006,Yes,,,
Unknown,Princeton University,Fordham University,Tenure Track/Permanent,Fordham University,Tenure Track/Permanent,"moral responsibility: attributability, accountability, and capacities",Ethics,2011,,,,
Male,"Indiana University, Bloomington",Fordham University,Post Doc/Researcher,Fordham University,Post Doc/Researcher,Two Orientations towards Human Nature,Ethics,2002,,,,
Male,University of Pennsylvania,Fordham University,Tenure Track/Permanent,Fordham University,Tenure Track/Permanent,Unknown,Unknown,2012,,,,
Male,University of Arizona,Fordham University,Tenure Track/Permanent,Fordham University,Tenure Track/Permanent,Why We Disagree and Why it Matters,Epistemology,2011,,,,
Male,University of Chicago,Fordham University ,Tenure Track/Permanent,Fordham University,Tenure Track/Permanent,The role theory of Epictetus (Mueller/Asmis),History of Philosophy,2007,,,,
Male,Georgetown University,Georgetown University,Lecturer,Fordham University,Post Doc/Researcher,Unknown,Unknown,2009,,,,
Male,Northwestern University,Middlebury College,Lecturer,Fordham University,Tenure Track/Permanent,"Human Rights and Global Diversity: Rawls, Taylor, Habermas",Social and Political Philosophy,2006,Yes,,,
Male,"University Of Nebraska, Lincoln",Fort Hays State University,Lecturer,Fort Hays State University,Lecturer,Unknown,Unknown,2001,,,,
Male,University of Virginia,Fort Hays State University,Tenure Track/Permanent,Fort Hays State University,Tenured,Unknown,Unknown,1996,,,,
Unknown,University of Pittsburgh,Franklin and Marshall College,Tenure Track/Permanent,Franklin and Marshall College,Tenured,"""Significance, emotions, and objectivity: some liimits of animal thought"" (Haugeland)",Philosophy of Mind,1995,,,,
Unknown,Yale University,Franklin and Marshall College,Tenure Track/Permanent,Franklin and Marshall College,Tenure Track/Permanent,"Events in Progress, Dispositions, and Teleology",Metaphysics,2011,,,,
Male,"Indiana University, Bloomington",Franklin and Marshall College,Lecturer,Franklin and Marshall College,Lecturer,How to Be An Anti-Representationalist,Metaphysics,1999,,,,
Unknown,University of British Columbia,Franklin and Marshall College,Post Doc/Researcher,Franklin and Marshall College,Post Doc/Researcher,Unknown,Unknown,2011,,,,
Male,University of Pennsylvania,Franklin and Marshall College,Lecturer,Franklin and Marshall College,Lecturer,Unknown,Unknown,2013,,,,
Unknown,Stanford University,Stanford University,Post Doc/Researcher,Franklin and Marshall College,Tenure Track/Permanent,Heidegger's Philosophy of Logic,Philosophy of Logic,1999,,,,
Male,University of Pennsylvania,"Freie Universitat, Berlin",Post Doc/Researcher,"Freie Universitat, Berlin",Post Doc/Researcher,Unknown,Unknown,2011,,,,
Unknown,University of Rochester,Unknown,Unknown,Frostburg State University,Lecturer,Unknown,Ethics,1999,Yes,,,
Male,Johns Hopkins University,Ft. Leavenworth (Kentucky),Tenure Track/Permanent,Ft Leavenworth (Kentucky),Tenure Track/Permanent,Unknown,Unknown,2002,,,,
Male,University of Connecticut,Furman College,Tenure Track/Permanent,Furman College,Tenure Track/Permanent,Believers and Citizens: Religious Freedom in a Deliberative Democracy.,Social and Political Philosophy,2001,,,,
Male,Northwestern University,Furman University,Lecturer,Furman University,Lecturer,Vagueness: Precision and Particularity,Philosophy of Language,2011,Yes,,,
Male,"University of Maryland, College Park",Gallaudet University,Tenure Track/Permanent,Gallaudet University,Tenured,Semantic Nativism and the Language of Thought: Some Implications of the American Sign Language for Fodor's Innateness Hypothesis,Philosophy of Language,1999,,,,
Unknown,Princeton University,Gateway College,Lecturer,Gateway College,Lecturer,dual-process views and moral decision making,Ethics,2010,,,,
Unknown,University of Washington,Not in Academic Philosophy,Not in Academic Philosophy,George Mason University,Lecturer,A Logic for Disorderly Domains,Philosophy of Logic,2009,,,,
Male,University of Arizona,George Washington University,Lecturer,George Washington University,Lecturer,The Concept of Epistemic Justification,Epistemology,1999,,,,
Female,Georgetown University,George Washington University,Lecturer,George Washington University,Lecturer,Unknown,Unknown,1999,,,,
Male,"Washington University, St. Louis",Ohio University,Tenure Track/Permanent,George Washington University,Tenured,Understanding Language without a Language of Thought,Philosophy of Language,2000,,,,
Male,"University of Michigan, Ann Arbor","University of Wisconsin, Eau Claire",Tenure Track/Permanent,George Washington University,Tenure Track/Permanent,"Sharing Fate: Contractualism, Individualism, and Collective Agency",Metaphysics,1999,,,,
Female,Northwestern University,Johns Hopkins University ,Lecturer,George Washington University ,Tenure Track/Permanent,Against Constructivism in Kantian Ethical Theory,Ethics,2012,Yes,,,
Male,Vanderbilt University,George-August-Universitaet Goettingen,Post Doc/Researcher,George-August-Universitaet Goettingen,Post Doc/Researcher,"The Relevance of Royce's Applied Ethics:  Studies in War, Business, and Environmental Ethics (Lachs)",Ethics,2008,,,,
Male,Florida State University,Georgetown College,Tenure Track/Permanent,Georgetown College,Tenured,"Dissertation Title: ""Hobbesian Individualism and the Self: Bringing Hobbes to Bear on the Communitarian Critique of Liberalism""",Social and Political Philosophy,2001,,,,
Female,University of Chicago,Georgetown University,Tenure Track/Permanent,Georgetown University,Tenure Track/Permanent,Dissertation:“Heidegger on Being Uncanny” - Abstract PDF,History of Philosophy,2009,,,,
Male,University of Notre Dame,Georgetown University,Lecturer,Georgetown University,Lecturer,The Antinomy of Musical Meaning,Aesthetics,2012,,,,
Male,Georgetown University,Georgetown University,Tenure Track/Permanent,Georgetown University,Tenure Track/Permanent,Unknown,Unknown,2005,,,,
Female,Georgetown University,Georgetown University,Lecturer,Georgetown University,Lecturer,Unknown,Unknown,2008,,,,
Male,Georgetown University,Georgetown University,Post Doc/Researcher,Georgetown University,Post Doc/Researcher,Unknown,Unknown,2013,,,,
Unknown,"University of California, Davis",Georgetown University,Tenure Track/Permanent,Georgetown University,Tenure Track/Permanent,Unknown,Unknown,2012,,,,
Female,"University of North Carolina, Chapel Hill",Mount St. Mary’s College,Tenure Track/Permanent,Georgetown University,Tenured,Virtue Ethics and Virtuous Agency ,Ethics,1999,,,,
Unknown,Princeton University,New York University,Lecturer,Georgetown University,Tenure Track/Permanent,causal independence and divine support in spinoza and leibniz,History of Philosophy,2013,,,,
Male,"University of Wisconsin, Madison",Not in Academic Philosophy,Post Doc/Researcher,Georgetown University,Lecturer,“The Rule of Law as an Emergent Order”,Social and Political Philosophy,2012,,,,
Male,"University of North Carolina, Chapel Hill",Tufts University,Post Doc/Researcher,Georgetown University,Tenured,Distributing Cognition: A Defense of Collective Mentality,Philosophy of Mind,2008,,,,
Female,"University of Michigan, Ann Arbor","University of Michigan, Ann Arbor",Tenure Track/Permanent,Georgetown University,Tenured,"Legal Judgments, Thick Concepts, and Objectivity",Social and Political Philosophy,1993,,,,
Male,University of Toronto,University of Oxford,Post Doc/Researcher,Georgetown University,Tenure Track/Permanent,Learning and Meno's Paradox in Aristotle's Posterior Analytics,History of Philosophy,2008,Yes,,,
Female,"University Of Illinois, Urbana Champaign",Unknown,Unknown,Georgetown University,Lecturer,Clarifying the Concept of Disease: How Science Determines the Biologically Normal from the Abnormal,Philosophy of Science,2011,,,,
Unknown,"University of Missouri, Columbia",Georgia State University,Lecturer,Georgia Highlands College,Tenure Track/Permanent,"Dissertation Title: Foucault, Governmentality and the Absurd",Social and Political Philosophy,2007,,,,
Male,University of Notre Dame,Bielefeld University,Post Doc/Researcher,Georgia Institute of Technology,Post Doc/Researcher,Socializing Science: On the Epitemic Sginificance of the Institutional Context of Science,Philosophy of Science,2006,,,,
Male,University of Miami,University of Miami,Lecturer,Georgia Institute of Technology,Lecturer,Expertise and the Courts.,Social and Political Philosophy,2001,,,,
Male,"University of California, San Diego",Auburn University,Lecturer,Georgia Perimeter College,Lecturer,Ordinary Language Philosophy: A Critical Re-examination,Philosophy of Language,2006,,,,
Male,Johns Hopkins University,Georgia Perimeter College,Tenure Track/Permanent,Georgia Perimeter College,Tenure Track/Permanent,Unknown,Unknown,2010,,,,
Unknown,"University of California, Santa Barbara",Georgia Southern University,Lecturer,Georgia Southern University,Tenure Track/Permanent,Unknown,Unknown,,,,,
Unknown,"University of Texas, Austin",Georgia Southern University,Tenure Track/Permanent,Georgia Southern University,Tenure Track/Permanent,Unknown,Unknown,1997,,,,
Male,Duke University,Georgia State University,Tenure Track/Permanent,Georgia State University,Tenured,Free Will and the Knowledge Condition,Epistemology,2001,,,,
Male,Northwestern University,Georgia State University,Tenure Track/Permanent,Georgia State University,Tenure Track/Permanent,From A Priori Grounding to Conceptual Transformation: The Philosophy of Nature in German Idealism,History of Philosophy,2006,Yes,,,
Female,University of Arizona,Georgia State University,Tenure Track/Permanent,Georgia State University,Tenure Track/Permanent,"Liberalism, Self-Determination, and Secession",Social and Political Philosophy,1994,,,,
Male,Georgetown University,Georgia State University,Lecturer,Georgia State University,Lecturer,Unknown,Unknown,1999,,,,
Unknown,Princeton University,Princeton University,Lecturer,Georgia State University,Tenured,language about belief and belief about language,Philosophy of Language,1991,,,,
Male,"Washington University, St. Louis",University of South Florida,Tenure Track/Permanent,Georgia State University,Tenured,A Defense of Conceptual Pluralism,Metaphysics,2003,,,,
Male,"University of North Carolina, Chapel Hill","University of Wisconsin, Stevens Point",Tenure Track/Permanent,Georgia State University,Tenure Track/Permanent,Hobbesian Political Authority and the Right of Resistance ,Social and Political Philosophy,1994,,,,
Unknown,"University of Texas, Austin",Parkland College,Lecturer,Germany,Post Doc/Researcher,Unknown,Unknown,2002,,,,
Female,Vanderbilt University,Allegheny College,Tenure Track/Permanent,Gettysburg College,Tenure Track/Permanent,The “Illegal Alien”: A Genealogical and Intersectional Approach (Medina),Philosophy of Logic,2012,,,,
Male,Purdue University,Gettysburg College,Lecturer,Gettysburg College,Lecturer,Toward a Philosophy of Difference: From Derrida,Continental Philosophy,2012,,,,
Male,University of Pittsburgh,Glendon College of York University,Tenure Track/Permanent,Glendon College of York University,Tenure Track/Permanent,"""Form without Formalism""(McDowell)",Metaphysics,2000,,,,
Unknown,Harvard University,Goethe Universität,Post Doc/Researcher,Goethe Universität,Post Doc/Researcher,Global Institutions and Relations among Non-Co-Citizens,Social and Political Philosophy,2013,,,,
Male,Syracuse University,Gonzaga University,Tenure Track/Permanent,Gonzaga University,Tenured,"""Beyond Comparison: Incomparability and hte Psychology of Choice""",Metaphysics,2003,,,,
Male,University of Southern California,Gordon College,Tenure Track/Permanent,Gordon College,Tenure Track/Permanent,Unknown,Philosophy of Mind,2007,,,,
Unknown,University of Washington,College of Lake County,Tenure Track/Permanent,Governors State University,Tenure Track/Permanent,Expert Testimony and the Social Transmission of Scientific Knowledge,Epistemology,2009,,,,
Female,"University of Colorado, Boulder",Grand Valley State University,Lecturer,Grand Valley State University,Lecturer,"""Unto the Least of These: Animal Suffering and the Problem of Evil"" under Wes Morriston",Ethics,2013,,,,
Male,"Indiana University, Bloomington",Grand Valley State University,Lecturer,Grand Valley State University,Lecturer,"Ethica secundum Stoicos: An Edition, Translation, and Critical Essay",Ethics,1997,,,,
Male,Johns Hopkins University,Grand Valley State University,Tenure Track/Permanent,Grand Valley State University,Tenure Track/Permanent,Unknown,Unknown,2004,,,,
Female,University of Utah,Grand Valley State University,Tenure Track/Permanent,Grand Valley State University,Tenure Track/Permanent,Unknown,Unknown,2005,,,,
Male,Ohio State University,Ohio State University,Lecturer,Grand Valley State University,Lecturer,"""Modal Inconstancy: How our Interests Influence How Things Could Be""",Metaphysics,2012,Yes,,,
Male,Northwestern University,"University of Illinois, Chicago",Lecturer,Grand Valley State University,Tenure Track/Permanent,Meaning as Use: A Critique and Reconstruction of Robert Brandom's Practice-Based Account of Semantic Norms,Philosophy of Language,2001,Yes,,,
Unknown,University of Connecticut,University of Montana,Tenure Track/Permanent,Grand Valley State University,Tenured,"Hume and the Definition of ""Cause"".",History of Philosophy,1991,,,,
Male,University of Alberta,Concordia University,Lecturer,Grant McEwan University,Tenure Track/Permanent,Unknown,Unknown,2003,,,,
Female,University of Pennsylvania,Grant McEwan University,Tenure Track/Permanent,Grant McEwan University,Tenure Track/Permanent,Unknown,Unknown,2008,,,,
Male,University of Western Ontario,Queens University,Post Doc/Researcher,Grant McEwan University,Lecturer,“Collective Responsibility and Individual Complicity”,Social and Political Philosophy,2010,,,,
Male,Northwestern University,Grinnell College,Tenure Track/Permanent,Grinnell College,Tenure Track/Permanent,Naturalism and Normativity,Ethics,2000,Yes,,,
Female,University of Pennsylvania,Grinnell College,Lecturer,Grinnell College,Lecturer,Unknown,Unknown,2007,,,,
Female,"University of California, Irvine",Grossmont College,Tenure Track/Permanent,Grossmont College,Tenured,"""John Norris' Theory of Ideas:A Re-evaluation of the English Malebranche""",History of Philosophy,2005,,,,
Male,University of Notre Dame,Grove City College,Tenure Track/Permanent,Grove City College,Tenure Track/Permanent,Learning to Speak: A Prelude to an Augustinian Conception of Practical Reason,Ethics,2010,,,,
Unknown,Stanford University,Guilford College,Lecturer,Guilford College,Tenure Track/Permanent,Friendship as Shared Intentional Activity,Ethics,2005,,,,
Unknown,Stanford University,Guilford College,Tenure Track/Permanent,Guilford College,Tenure Track/Permanent,Murderous Delusions: The Ethics and Metaphysics of Race,Ethics,2000,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Gustavus Adolphus College,Lecturer,Gustavus Adolphus College,Lecturer,Unknown,Unknown,2000,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Gustavus Adolphus College,Tenure Track/Permanent,Gustavus Adolphus College,Tenure Track/Permanent,Unknown,Unknown,2001,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Gustavus Adolphus College,Lecturer,Gustavus Adolphus College,Lecturer,Unknown,Unknown,2001,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Gustavus Adolphus College,Lecturer,Gustavus Adolphus College,Lecturer,Unknown,Unknown,2007,,,,
Male,"University of Michigan, Ann Arbor",University of Houston,Tenure Track/Permanent,Gustavus Adolphus College,Tenure Track/Permanent,From Semantics to Metaphysics,Philosophy of Language,2009,,,,
Male,"Indiana University, Bloomington",University of Fribourg,Lecturer,Gymnasium St. Antonius,Lecturer,"Circularity, Truth, and the Liar Paradox",Philosophy of Language,1993,,,,
Unknown,Stanford University,Hamilton College,Tenure Track/Permanent,Hamilton College,Tenure Track/Permanent,Nietzsche's Perspectivism: A Thesis on Subjectivity,History of Philosophy,1997,,,,
Female,University of Arizona,Hamilton College,Post Doc/Researcher,Hamilton College,Post Doc/Researcher,"The Moral Mind:  Emotion, Evolution, And The Case For Skepticism""  Advisor: Mark Timmons",Epistemology,2013,,,,
Male,City University of New York Graduate Center,Hamilton College,Lecturer,Hamilton College,Lecturer,The Psychological Import of Syntactic Theory,Philosophy of Logic,2012,,,,
Male,Northwestern University,Unknown,Unknown,Hamilton College,Tenure Track/Permanent,Justification and Context: The Rational Rejection of Demands for Evidence,Epistemology,1992,Yes,,,
Unknown,University of Pittsburgh,College of Charleston,Tenure Track/Permanent,Hampshire College,Tenure Track/Permanent,"""The union of soul and body: Descartes' conception of a human being"" (Engstrom)",History of Philosophy,1992,,,,
Female,"University of Wisconsin, Madison",Hampshire College,Tenure Track/Permanent,Hampshire College,Tenure Track/Permanent,A Theory of Moods and Their Place in our Science of Mind,Philosophy of Mind,2002,,,,
Female,"University of Maryland, College Park",Hampshire College,Tenure Track/Permanent,Hampshire College,Tenured,Aesthetic Experiences and Their Place in the Mind,Philosophy of Mind,1997,,,,
Male,"University of Missouri, Columbia","University of Minnesota, Duluth",Tenure Track/Permanent,Hanover College,Tenure Track/Permanent,Dissertation Title: Epistemic norms and epistemological methods,Epistemology,2001,,,,
Unknown,University of Iowa,"Hankuk University of Foreign Studies, South Korea",Lecturer,Hanshin University,Tenure Track/Permanent,On Trope Theory,Metaphysics,2000,,,,
Male,"University of California, Riverside",East Carolina State University,Lecturer,Hartwick College,Tenure Track/Permanent,"Agency, Normativity, and Theory: Awakening from Anthropological Slumber",Metaphysics,2002,,,,
Female,"University of California, Berkeley",Bryn Mawr College,Tenure Track/Permanent,Harvard University,Lecturer,Perception and Empirical Thought,Metaphysics,2002,,,,
Male,"University of California, Irvine",Harvard University,Tenure Track/Permanent,Harvard University,Tenured,"""Leibniz on Internal Teleology and the Laws of Optics""",History of Philosophy,2005,,,,
Male,University of Pittsburgh,Harvard University,Tenure Track/Permanent,Harvard University,Tenure Track/Permanent,"""Practical Reasons and the Conditions of Agency"" (Thompson)",Metaphysics,2001,,,,
Female,Columbia University,Harvard University,Lecturer,Harvard University,Lecturer,A Tenative Epistemology,Epistemology,2009,,,,
Male,Columbia University,Harvard University,Lecturer,Harvard University,Lecturer,A Theory of Democratic Authority,Social and Political Philosophy,2009,,,,
Unknown,Princeton University,Harvard University,Tenure Track/Permanent,Harvard University,Tenure Track/Permanent,"the terrible, horrible, no good, very bad truth about morality and what to do about it",Ethics,2002,,,,
Female,Johns Hopkins University,Harvard University,Tenure Track/Permanent,Harvard University,Tenure Track/Permanent,Unknown,Unknown,2003,,,,
Unknown,Massachusetts Institute of Technology,Harvard University,Tenure Track/Permanent,Harvard University,Tenured,Unknown,Philosophy of Mathematics,2003,,,,
Unknown,Massachusetts Institute of Technology,Harvard University,Tenure Track/Permanent,Harvard University,Tenure Track/Permanent,Unknown,Ethics,2007,,,,
Unknown,Massachusetts Institute of Technology,Harvard University,Lecturer,Harvard University,Lecturer,Unknown,Epistemology,2011,,,,
Male,"Rutgers University, New Brunswick",Harvard University,Lecturer,Harvard University,Lecturer,Unknown,Philosophy of Language,2012,Yes,,,
Female,University of Virginia,Harvard University,Post Doc/Researcher,Harvard University,Post Doc/Researcher,Unknown,Unknown,2008,,,,
Male,Harvard University,Harvard University,Tenure Track/Permanent,Harvard University,Tenure Track/Permanent,Valuing Reasons: Analogy & Epistemic Deference in Legal Argument ,Epistemology,1997,,,,
Unknown,University of Pittsburgh,Ohio State University,Tenure Track/Permanent,Harvard University,Tenure Track/Permanent,"""Marxism and the critique of moral ideology"" (Gauthier)",Ethics,1992,,,,
Unknown,Massachusetts Institute of Technology,Tufts University,Lecturer,Harvard University,Tenured,Unknown,Philosophy of Science,2005,,,,
Male,University of Toronto,"University of Toronto, Mississauga",Lecturer,Harvard University,Post Doc/Researcher,The Normativity of Nonstandard Emotions:  An Essay on Poignancy and Sentimentality,Ethics,2011,Yes,,,
Unknown,Stanford University,Unknown,Unknown,Harvard University,Lecturer,Conceptual Foundations of Cultural Evolution,Epistemology,2005,,,,
Unknown,Princeton University,Yale University,Tenure Track/Permanent,Harvard University,Tenure Track/Permanent,"majority rules, rights, utilitarianism, and bayesian group decision theory: philosophical essays in decision-theoretic aggregation",Ethics,2000,,,,
Male,"University of Michigan, Ann Arbor",Harvey Mudd College,Tenure Track/Permanent,Harvey Mudd College,Tenured,Refuting Idealism,Metaphysics,1991,,,,
Male,Carnegie Mellon University,Hawaiian Preparatory Academy,Not in Academic Philosophy,Hawaiian Preparatory Academy,Not in Academic Philosophy,,Philosophy of Mathematics,2003,,,,
Male,New York University,Hebrew University,Tenure Track/Permanent,Hebrew University,Tenure Track/Permanent,Unknown,Ethics,2003,,,,
Unknown,Yale University,Israel,Post Doc/Researcher,Hebrew University,Tenure Track/Permanent,Unknown,Unknown,2002,,,,
Unknown,Princeton University,University of Ben Gurion,Lecturer,Hebrew University,Tenure Track/Permanent,plato on syntax and its metaphysical foundations,History of Philosophy,2008,,,,
Male,Harvard University,Van Leer Jerusalem Institute,Post Doc/Researcher,Hebrew University,Tenure Track/Permanent,"Idealization, Explanation & Fiction ",Philosophy of Science,2010,,,,
Male,Georgetown University,Heights University,Lecturer,Heights University,Lecturer,Unknown,Unknown,2010,,,,
Male,"University of California, Riverside",Hendrix College,Tenure Track/Permanent,Hendrix College,Tenured,The Reach of Argument,Epistemology,2003,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Hennepin Technical College,Tenure Track/Permanent,Hennepin Technical College,Tenured,Unknown,Unknown,2006,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Hennepin Technical College,Lecturer,Hennepin Technical College,Tenured,Unknown,Unknown,2007,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Hennepin Technical College,Lecturer,Hennepin Technical College,Lecturer,Unknown,Unknown,2008,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Hennepin Technical College,Lecturer,Hennepin Technical College,Lecturer,Unknown,Unknown,2013,,,,
Unknown,Stanford University,High Point University,Tenure Track/Permanent,High Point University,Tenure Track/Permanent,Individual Differences and Equal Citizenship: Two Reconciliations,Social and Political Philosophy,2012,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Highwater University,Tenure Track/Permanent,Highwater University,Tenure Track/Permanent,Unknown,Unknown,2011,,,,
Unknown,University of Pittsburgh,West Virginia University,Lecturer,Hillsdale College,Tenure Track/Permanent,"""Cosmoi: the best of all possible worlds"" (Gale)",Metaphysics,1995,,,,
Male,"University of North Carolina, Chapel Hill",Mount Holyoke College,Lecturer,Hobart and William Smith Colleges,Tenure Track/Permanent,Cooperation and Trust ,Ethics,1998,,,,
Female,University of Pittsburgh,University of Las Vegas,Lecturer,Hobart and William Smith Colleges,Tenure Track/Permanent,"""The Epistemological Importance of Trust in Science"" (Mitchell/ Setiya)",Philosophy of Science,2006,,,,
Unknown,University of Rochester,Unknown,Unknown,Hobart and William Smith Colleges,Tenure Track/Permanent,Unknown,History of Philosophy,2012,Yes,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Hofstra University,Tenure Track/Permanent,Hofstra University,Tenure Track/Permanent,Unknown,Unknown,2004,,,,
Female,University of Virginia,Hofstra University,Tenure Track/Permanent,Hofstra University,Tenured,Unknown,Unknown,1997,,,,
Unknown,"University of California, Santa Barbara",Hollins University,Lecturer,Hofstra University,Tenure Track/Permanent,Unknown,Unknown,,,,,
Female,University of Western Ontario,Hood College,Lecturer,Hood College,Lecturer,“Hannah Arendt and Feminist Agency”,Metaphysics,2013,,,,
Male,Purdue University,Hope College,Lecturer,Hope College,Tenure Track/Permanent,Faith and Nothingness in Kierkegaard: A Mystical Reading of the God-Relationship,Continental Philosophy, 2004,,,,
Male,"University of Massachusetts, Amherst",Unknown,Unknown,Hope College,Tenured,Unknown,Unknown,1998,,,,
Male,University of Connecticut,Calvin College,Lecturer,Houghton College,Tenure Track/Permanent,Gratitude and the Creation of Value.,Ethics,1995,,,,
Male,University of Notre Dame,Wheaton College,Lecturer,Houston Baptist University,Tenure Track/Permanent,Work for a New Theory of Modality,Metaphysics,2007,,,,
Female,"University of California, Davis",Houston Community College ,Lecturer,Houston Community College ,Lecturer,Unknown,Unknown,2010,,,,
Female,University of Utah,Houston State University,Tenure Track/Permanent,Houston State University,Tenure Track/Permanent,Unknown,Unknown,2007,,,,
Unknown,Massachusetts Institute of Technology,Howard University,Tenure Track/Permanent,Howard University,Tenured,Unknown,Philosophy of Language,1998,,,,
Male,"University of Colorado, Boulder",Kansas State University,Lecturer,Howard University,Lecturer,"""Philosophies of Community: An Inquiry into African-American Sociopolitical Thought"" under Alison Jaggar",Social and Political Philosophy,2000,,,,
Male,University of Toronto,New York University,Post Doc/Researcher,Human Rights Watch,Post Doc/Researcher,The Justification of Deontology,Ethics,2011,Yes,,,
Male,University of Toronto,Humber College,Lecturer,Humber College,Lecturer,Doxa Versus EpistLmL:  A Study in Aristotle's Epistemology and Scientific Thought,History of Philosophy,2002,Yes,,,
